OID_First,OID,spNum,rare2d_PD_FD,rare3d_restrict,rare3d_scarce,rare2d_FD_TD_restrict,rare2d_FD_TD_scarce,rare4d_restrict_scarce,rare2d_PD_TD_restrict,rare2d_PD_TD_scarce,ID_f,NomActive,EffActive,NV,P,GT,NomActiveHours,EffActiveHours,xcoord,ycoord
7092,7092,104,6,0,0,0,0,0,0,0,5777,143.4357,590.4892,0.004660526,0.7138227,0.0997803,1304.505,5370.324,12.75,37.25
7093,7093,77,5,0,0,0,0,0,0,0,5955,4906.964,6582.803,0.1319905,24.39852,3.805106,40377.42,54167.22,13.25,37.25
7094,7094,81,3,0,0,0,0,0,0,0,5955,4906.964,6582.803,0.1319905,24.39852,3.805106,40377.42,54167.22,13.25,37.25
7101,7101,106,8,0,0,0,0,0,0,0,6452,1530.019,3241.529,0.03867638,7.622477,1.184939,11800.04,25250.4,15.25,37.25
7126,7126,25,3,0,0,0,0,0,0,0,8411,18.61374,38.07945,0.00047487,0.09269647,0.01449331,149.9171,308.7673,21.25,37.25
7127,7127,14,1,0,0,0,0,0,0,0,8499,12.04494,25.61876,0.000306596,0.05999225,0.009321654,92.72321,199.6595,21.75,37.25
7132,7132,49,2,0,0,0,0,0,0,0,8602,26511.4,54236.27,0.6763537,132.0269,20.6427,210523.9,433657.6,22.75,37.25
7136,7136,26,2,0,0,0,0,0,0,0,8696,1004.774,1864.701,0.02510228,5.006615,0.7718441,7974.315,14890.04,23.75,37.25
7141,7141,47,4,0,0,0,0,0,0,0,23044,2.060414,47.80987,3.92E-05,0.01037568,0.00113888,16.94782,393.2193,25.25,37.25
7145,7145,29,5,0,0,0,0,0,0,0,8972,253.914771,519.451581,0.006477824,1.26449663,0.1977069,2016.30793,4153.38529,26.25,37.25
7146,7146,17,1,0,0,0,0,0,0,0,8972,253.914771,519.451581,0.006477824,1.26449663,0.1977069,2016.30793,4153.38529,26.25,37.25
7147,7147,26,3,0,0,0,0,0,0,0,9053,8.536008,18.91331,0.000330531,0.04251649,0.006806597,70.55389,156.3268,26.75,37.25
7243,7243,10,1,0,0,0,0,0,0,0,788,5.440023,22.39523,0.000176758,0.02707285,0.003784324,50.2957,207.055,-9.25,37.75
7244,7244,54,4,0,0,0,0,0,0,0,788,5.440023,22.39523,0.000176758,0.02707285,0.003784324,50.2957,207.055,-9.25,37.75
7245,7245,56,3,0,0,0,0,0,0,0,1015,10.88005,44.79046,0.000353516,0.05414569,0.007568649,87.99064,362.2358,-8.75,37.75
7278,7278,95,5,0,0,0,1,0,0,0,14405,9.71546,203.0711,0.000191382,0.04889831,0.0052637,80.39184,1680.305,-0.75,37.75
7280,7280,72,6,0,2,0,2,0,0,3,3127,44.44591,285.523,0.001079312,0.2219428,0.03120377,386.3344,2477.321,-0.25,37.75
7326,7326,17,3,0,0,0,0,0,0,1,5298,13.67866,27.98341,0.000348967,0.06811977,0.01065068,133.7491,274.8666,11.25,37.75
7327,7327,86,11,0,0,0,0,0,0,0,5467,23.84454,84.90093,0.000782207,0.1185996,0.0162831,220.9168,786.5971,11.75,37.75
7329,7329,68,6,0,0,0,0,0,0,0,5626,47.68907,169.8019,0.001564414,0.2371993,0.03256619,400.4491,1425.84,12.25,37.75
7330,7330,81,4,0,0,0,0,0,0,0,5626,47.68907,169.8019,0.001564414,0.2371993,0.03256619,400.4491,1425.84,12.25,37.75
7331,7331,76,5,0,0,0,0,0,0,0,5787,23.84454,84.90093,0.000782207,0.1185996,0.0162831,192.3562,684.9041,12.75,37.75
